#NAME?,Target Muscle Group 
Single Arm Cable Half Kneeling Low Row,Back
Single Arm Suspension Low Row,Back
Double Dumbbell Incline Bench Prone Row,Back
Barbell Pendlay Row,Back
Barbell Bench Press,Chest
Cable Single Leg Standing Bent Knee Hip External Rotation,Legs
Cable Hip Rotation,Legs
Barbell Bicep Curl,Biceps
Barbell Overhead Press,Front Shoulder
Barbell Push Press,Front Shoulder
Barbell Bent Over Row,Back
Single Arm Landmine Meadows Row,Back
Cable Straight Bar Seated Bicep Curl,Biceps
Cable Rope Bench Skull Crusher,Triceps
Single Arm Dumbbell Seated Cuban Press,Rear Shoulder
Bodyweight Wall Facing Handstand,Front Shoulder
Parallette Close Grip Push Up,Triceps
Parallette Wide Push Up,Chest
Barbell Front Raise,Front Shoulder
Single Arm Cable Front Raise,Front Shoulder
Parallette Side Plank,Abdominals
Cable Straight Bar Front Raise,Front Shoulder
Barbell Close Grip Bench Press,Triceps
Single Arm Cable Bicep Curl,Biceps
Single Arm Cable Shotgun Row,Back
Cable Half Kneeling Face Pull,Rear Shoulder
Stability Ball Double Dumbbell W Raise,Rear Shoulder
Single Arm Kettlebell Bent Over Row,Back
Double Kettlebell Gorilla Row,Back
Kettlebell Alternating Halo,Middle Shoulder
Single Arm Kettlebell Overhead Press,Front Shoulder
Kettlebell Horn Grip Bicep Curl,Biceps
Double Dumbbell Prone Row,Back
Double Kettlebell Z Press,Front Shoulder
Double Kettlebell Push Press,Front Shoulder
Barbell Prone Row,Back
Single Arm Dumbbell Cuban Press,Rear Shoulder
Single Arm Kettlebell Push Jerk,Front Shoulder
Barbell Incline Bench Press,Chest
Double Kettlebell Tall Kneeling Overhead Press,Front Shoulder
Double Dumbbell Incline Bench Prone Y Raise,Rear Shoulder
Suspension Face Pull to Overhead Press,Rear Shoulder
Double Dumbbell Reverse Grip Bench Press,Chest
Single Arm Cable Seated Floor Lat Pulldown,Back
Double Dumbbell Suitcase Carry,Forearms
Single Arm Resistance Band Half Kneeling Cuban Press,Rear Shoulder
Double Dumbbell Cuban Press,Rear Shoulder
Double Kettlebell Pendlay Row,Back
Double Kettlebell Half Kneeling Overhead Press,Front Shoulder
Single Arm Kettlebell Push Press,Front Shoulder
Double Kettlebell Push Jerk,Front Shoulder
Double Dumbbell Glute Bridge Isometric Floor Press,Chest
Double Kettlebell Seesaw Overhead Press,Front Shoulder
Alternating Double Kettlebell Z Press,Front Shoulder
Bodyweight Burpee,Chest
Double Dumbbell Devil Press,Front Shoulder
Alternating Single Arm Dumbbell Devil Press,Front Shoulder
Double Kettlebell Seesaw Z Press,Front Shoulder
Double Plate Lu Raise,Rear Shoulder
Plate Steering Wheel,Front Shoulder
Suspension Cuban Press,Rear Shoulder
Barbell Decline Bench Press,Chest
Kettlebell Half Kneeling Alternating Halo,Middle Shoulder
Kettlebell Tall Kneeling Alternating Halo,Middle Shoulder
Bodyweight Rolling Squat Burpee,Chest
Kettlebell Tall Kneeling Alternating Hip to Halo,Middle Shoulder
Barbell Seated Overhead Press,Front Shoulder
Dumbbell Crush Grip Z Press,Front Shoulder
Barbell Half Kneeling Overhead Press,Front Shoulder
Barbell Tall Kneeling Overhead Press,Front Shoulder
Barbell Bodyweight Row,Back
Ring Row,Back
Slider Single Arm Kettlebell Suitcase Ipsilateral Reverse Lunge,Legs
Slider Single Arm Kettlebell Front Rack Contralateral Reverse Lunge,Legs
Ring Bulgarian Row,Back
Alternating Double Kettlebell Rotational Overhead Press,Front Shoulder
Alternating Double Kettlebell Push Press,Front Shoulder
Cable Tall Kneeling Face Pull,Rear Shoulder
Macebell Ballistic Curl,Biceps
Single Arm Indian Club Outer Heart Shaped Swing,Rear Shoulder
Single Arm Clubbell Pullover,Back
Double Clubbell Pullover,Back
Clubbell Pullover,Back
Clubbell Front Flag Press,Front Shoulder
Single Arm Indian Club Inner Heart Shaped Swing,Rear Shoulder
Single Arm Ring Dead Hang,Back
Single Arm Dumbbell Suitcase Deadlift,Back
Slider Single Arm Kettlebell Front Rack Ipsilateral Reverse Lunge,Legs
Clubbell Torch Press,Front Shoulder
Single Arm Clubbell Torch Press,Front Shoulder
Double Clubbell Torch Press,Front Shoulder
Barbell Conventional Deadlift,Back
Barbell Sumo Deadlift,Back
Barbell Rack Pull,Back
Barbell Snatch Grip Deadlift,Back
Alternating Double Clubbell Torch Press,Front Shoulder
Stability Ball Hyperextension,Back
Barbell Seated Good Morning ,Back
Barbell Good Morning,Back
Bodyweight Wall Sit ,Legs
Bodyweight Wall Slide Squat,Legs
Stability Ball Wall Slide Squat,Legs
Suspension Squat,Legs
Suspension Alternating Reverse Lunge,Legs
Bodyweight Squat to Bench,Legs
Bodyweight Squat,Legs
Bodyweight Hand Assisted Split Squat,Legs
Bodyweight Walking Lunge,Legs
Dumbbell Goblet Squat ,Legs
Miniband Romanian Deadlift,Legs
Superband Resisted Skater Jump,Legs
Cable Prone Single Leg Hamstring Curl,Legs
Bodyweight Candlestick Roll Up Tuck Jump,Legs
Single Arm Clubbell Front Flag Press,Front Shoulder
Double Clubbell Front Flag Press,Front Shoulder
Barbell Block Pull Deadlift,Back
Barbell Box Back Squat,Legs
Barbell Deficit Deadlift,Back
Barbell Front Rack Squat,Legs
